Name,Division_Title,Division_Record,Status,Age,Height,Weight,Reach,Leg_Reach,Octagon_Reach,Trains_at,Fighting_Style,Total_Fights,Wins,Losses,Draws,Win_Percentage,Title_Defenses,Former_Champion,Fight_Win_Streak,Octagon_Debut,Wins_by_KO_TKO,Wins_by_SUB,Wins_by_DEC,First_Round_Wins,Sig_Strikes_Landed,Sig_Strikes_Attempted,Striking_Accuracy,Striking_Defense,Sig_Strikes_Landed_Per_Min,Sig_Strikes_Absorbed_Per_Min,Average_Sig_Strikes,Sig_Strikes_Head_Pct,Sig_Strikes_Body_Pct,Sig_Strikes_Leg_Pct,Takedowns_Landed,Takedowns_Attempted,Takedown_Accuracy,Takedown_Defense,Takedown_Avg_Per_15_Min,Submissions,Submission_Avg_Per_15_Min,Knockdowns,Knockdown_Avg,Average_Fight_Time,Control_Time,Event_1_Headline,Event_1_Date,Event_1_Result,Event_1_Time,Event_1_Method,Event_2_Headline,Event_2_Date,Event_2_Result,Event_2_Time,Event_2_Method,Event_3_Headline,Event_3_Date,Event_3_Result,Event_3_Time,Event_3_Method,Country,Place_of_Birth,Nickname,Stance,Sig_Str_Landed_Per_Min,Sig_Str_Absorbed_Per_Min,Sig_Str_Defense,Win_by_KO_TKO,Win_by_DEC,Win_by_SUB,Sig_Str_Head_Pct,Sig_Str_Body_Pct,Sig_Str_Leg_Pct
ZakOttow,Light Heavyweight Division,0-0,Active,33.0,"6' 3""",205 lbs,"78""",,,Akhmat Fight Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,150,210,71.4,28.6,150.0,,,,,,2,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
ZakOttow,Middleweight Division,0-0,Active,39.0,"5' 10""",185 lbs,"73""",,,Elevation Fight Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,369,697,52.9,47.1,369.0,,,,,,5,0,0,0,0.0,0,0.0,9,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Ji YeonKim,Lightweight Division,0-0,Active,41.0,"5' 8""",155 lbs,"70""",,,Blackzilians,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,356,731,48.7,51.3,356.0,,,,,,14,0,0,0,0.0,0,0.0,3,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AbnerLloveras,Lightweight Division,0-0,Active,42.0,"5' 11""",155 lbs,"71""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
MagomedGadzhiyasulov,Welterweight Division,0-0,Active,35.0,"5' 11""",170 lbs,"72""",,,AKA (American Kickboxing Academy),Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,246,378,65.1,34.9,246.0,,,,,,4,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
MagomedGadzhiyasulov,Middleweight Division,0-0,Active,34.0,"6' 2""",185 lbs,"78""",,,UFD Gym,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,319,607,52.6,47.4,319.0,,,,,,12,0,0,0,0.0,0,0.0,1,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AbuAzaitar,Middleweight Division,0-0,Active,39.0,"5' 9""",186 lbs,"76""",,,Combat Club Cologne,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,364,640,56.9,43.1,364.0,,,,,,3,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AcácioDos Santos,Light Heavyweight Division,0-0,Active,33.0,"6' 4""",201 lbs,"79""",,,Power Lotus Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
LewisGonzalez,Lightweight Division,0-0,Active,33.0,"5' 10""",156 lbs,"68""",,,Axe Capoeira Vancouver,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Da WoonJung,Flyweight Division,0-0,Active,43.0,"5' 5""",125 lbs,"63""",,,AKA (American Kickboxing Academy),Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Da WoonJung,Welterweight Division,0-0,Active,40.0,"6' 2""",170 lbs,"78""",,,Finney's HIT Squad,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Da WoonJung,Welterweight Division,0-0,Active,36.0,"6' 1""",171 lbs,"77""",,,Fight Ready,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,215,443,48.5,51.5,215.0,,,,,,5,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Da WoonJung,Middleweight Division,0-0,Active,41.0,"6' 1""",185 lbs,"73""",,,Synergy Fight Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Da WoonJung,Welterweight Division,0-0,Active,41.0,"5' 10""",170 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Da WoonJung,Light Heavyweight Division,0-0,Active,37.0,"6' 3""",205 lbs,"76""",,,Pittsburgh Fight Club,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,156,303,51.5,48.5,156.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Da WoonJung,Heavyweight Division,0-0,Active,33.0,"6' 5""",250 lbs,"81""",,,AKS Chorzow,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,118,222,53.2,46.8,118.0,,,,,,1,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Da WoonJung,Middleweight Division,0-0,Active,36.0,"5' 9""",185 lbs,"74""",,,Fight or Die,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,0.0,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AdlanAmagov,Welterweight Division,0-0,Active,40.0,"6' 2""",170 lbs,"76""",,,Jackson-Wink MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,86,163,52.8,47.2,86.0,,,,,,6,0,0,0,0.0,0,0.0,1,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,Featherweight Division,0-0,Active,35.0,"5' 10""",145 lbs,"72""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,Lightweight Division,0-0,Active,43.0,"5' 10""",155 lbs,"72""",,,Top Life Amazonas,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,Middleweight Division,0-0,Active,,,,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,21,47,44.7,55.3,21.0,,,,,,2,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,Featherweight Division,0-0,Active,37.0,"5' 10""",145 lbs,,,,Team Alpha Male,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,10,15,66.7,33.3,10.0,,,,,,1,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,nan Division,0-0,Active,,,,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,55,79,69.6,30.4,55.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,Bantamweight Division,0-0,Active,31.0,"5' 7""",136 lbs,"70""",,,Metro Fight Club,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,432,1029,42.0,58.0,432.0,,,,,,0,0,0,0,0.0,0,0.0,7,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,Featherweight Division,0-0,Active,,"5' 10""",145 lbs,"70""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Da WoonJung,Lightweight Division,0-0,Active,28.0,"6' 1""",155 lbs,"75""",,,Team Alpha Male,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,132,256,51.6,48.4,132.0,,,,,,4,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AiemannZahabi,Featherweight Division,0-0,Active,37.0,"5' 8""",142 lbs,"68.5""",,,TriStar Gym,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,485,1019,47.6,52.4,485.0,,,,,,1,0,0,0,0.0,0,0.0,3,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,Women's Bantamweight Division,0-0,Active,30.0,"5' 5""",135 lbs,"66""",,,The Goat Shed,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,462,704,65.6,34.4,462.0,,,,,,23,0,0,0,0.0,0,0.0,1,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Da WoonJung,Women's Strawweight Division,0-0,Active,37.0,"5' 3""",115 lbs,"64""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,268,376,71.3,28.7,268.0,,,,,,5,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
GuangyouNing,Bantamweight Division,0-0,Active,30.0,"5' 10""",136 lbs,"71""",,,Law School MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,124,417,29.7,70.3,124.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
So YulKim,Middleweight Division,0-0,Active,33.0,"6' 1""",185 lbs,"76""",,,Carlson Gracie Team Ohio,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,299,587,50.9,49.1,299.0,,,,,,6,0,0,0,0.0,0,0.0,1,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AJDobson,Welterweight Division,0-0,Active,28.0,"5' 10""",170 lbs,"67""",,,Gladiators Academy Of Lafayette,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AkbarhArreola,Lightweight Division,0-0,Active,42.0,"5' 10""",155 lbs,"71""",,,Entram Gym,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AkihiroGono,nan Division,0-0,Active,50.0,"5' 9""",170 lbs,"68""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,151,255,59.2,40.8,151.0,,,,,,6,0,0,0,0.0,0,0.0,1,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AkiraCorassani,Featherweight Division,0-0,Active,42.0,"5' 8""",145 lbs,"68""",,,Renzo Gracie Jiu-Jitsu,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,155,324,47.8,52.2,155.0,,,,,,2,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AkitoshiTamura,nan Division,0-0,Active,,,,"70""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Light Heavyweight Division,0-0,Active,37.0,"6' 3""",253 lbs,"79""",,,MMA Factory,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,195,313,62.3,37.7,195.0,,,,,,0,0,0,0,0.0,0,0.0,1,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Middleweight Division,0-0,Active,41.0,"6' 2""",185 lbs,"75""",,,Remix MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,513,1041,49.3,50.7,513.0,,,,,,4,0,0,0,0.0,0,0.0,3,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Welterweight Division,0-0,Active,43.0,"6' 0""",170 lbs,"73.5""",,,Black House,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,719,1377,52.2,47.8,719.0,,,,,,4,0,0,0,0.0,0,0.0,9,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Featherweight Division,0-0,Active,36.0,"5' 9""",155 lbs,"71""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
PatSchilling,Lightweight Division,0-0,Active,41.0,"5' 11""",156 lbs,"74""",,,Chute Boxe,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,455,816,55.8,44.2,455.0,,,,,,23,0,0,0,0.0,0,0.0,1,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,Bantamweight Division,0-0,Active,33.0,"5' 5""",136 lbs,"66""",,,Fight Ready,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,494,1257,39.3,60.7,494.0,,,,,,14,0,0,0,0.0,0,0.0,1,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Open Weight Division,0-0,Active,,,238 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,9,11,81.8,18.2,9.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,nan Division,0-0,Active,48.0,"5' 5""",155 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,26,52,50.0,50.0,26.0,,,,,,0,0,0,0,0.0,0,0.0,1,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,Welterweight Division,0-0,Active,43.0,"6' 0""",170 lbs,"77.5""",,,Epic MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,165,386,42.7,57.3,165.0,,,,,,5,0,0,0,0.0,0,0.0,3,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,Featherweight Division,0-0,Active,31.0,"5' 7""",145 lbs,"69""",,,The Goat Shed,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,38,58,65.5,34.5,38.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
IanHeinisch,nan Division,0-0,Active,40.0,"6' 3""",185 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Welterweight Division,0-0,Active,,"5' 11""",170 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,5,12,41.7,58.3,5.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Middleweight Division,0-0,Active,36.0,"5' 11""",186 lbs,"75""",,,Xtreme Couture,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,350,650,53.8,46.2,350.0,,,,,,7,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Bantamweight Division,0-0,Active,34.0,"5' 9""",135 lbs,"72""",,,Systems Training Center,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Welterweight Division,0-0,Active,33.0,"5' 11""",170 lbs,"73""",,,American Top Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Ho TaekOh,Featherweight Division,0-0,Active,33.0,"5' 9""",146 lbs,"74""",,,Valle Flow Striking,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Ho TaekOh,Bantamweight Division,0-0,Active,35.0,"5' 6""",144 lbs,"67""",,,AKA (American Kickboxing Academy),Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,647,1529,42.3,57.7,647.0,,,,,,5,0,0,0,0.0,0,0.0,1,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Da WoonJung,Light Heavyweight Division,0-0,Active,33.0,"6' 4""",206 lbs,"78""",,,American Top Team Zagreb,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,829,1331,62.3,37.7,829.0,,,,,,5,0,0,0,0.0,0,0.0,4,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
Top NoiKiwram,Bantamweight Division,0-0,Active,29.0,"5' 7""",135 lbs,"68""",,,Climent Club,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,65,110,59.1,40.9,65.0,,,,,,1,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Light Heavyweight Division,0-0,Active,29.0,"6' 1""",205 lbs,"74""",,,Strong Style Fight Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,417,657,63.5,36.5,417.0,,,,,,2,0,0,0,0.0,0,0.0,1,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Welterweight Division,0-0,Active,41.0,"5' 8""",170 lbs,"72""",,,Boets MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Heavyweight Division,0-0,Active,48.0,"6' 2""",254 lbs,"80""",,,American Top Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Middleweight Division,0-0,Active,37.0,"5' 10""",185 lbs,"74""",,,Xtreme Couture,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,20,66,30.3,69.7,20.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Flyweight Division,0-0,Active,29.0,"5' 4""",125 lbs,"67""",,,Brazilian Warriors BJJ,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,301,572,52.6,47.4,301.0,,,,,,1,0,0,0,0.0,0,0.0,3,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Lightweight Division,0-0,Active,42.0,"5' 11""",155 lbs,"69""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,104,177,58.8,41.2,104.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Middleweight Division,0-0,Active,35.0,"6' 0""",186 lbs,"74""",,,Gloria Fight Center,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,462,1044,44.3,55.7,462.0,,,,,,11,0,0,0,0.0,0,0.0,3,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
AliBagautinov,Middleweight Division,0-0,Active,43.0,"6' 0""",205 lbs,"72""",,,American Top Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
RonStallings,Light Heavyweight Division,0-0,Active,38.0,"6' 5""",205 lbs,"79""",,,Allstars Training Center,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,1001,2125,47.1,52.9,1001.0,,,,,,19,0,0,0,0.0,0,0.0,9,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
RonStallings,Lightweight Division,0-0,Active,32.0,"5' 9""",156 lbs,"72""",,,Mile High Militia,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,834,1863,44.8,55.2,834.0,,,,,,13,0,0,0,0.0,0,0.0,4,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
RonStallings,Bantamweight Division,0-0,Active,34.0,"5' 10""",144 lbs,"71""",,,TriStar Gym,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,12,27,44.4,55.6,12.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
RonStallings,Lightweight Division,0-0,Active,35.0,"5' 9""",156 lbs,"72""",,,Team Alpha Male,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,245,544,45.0,55.0,245.0,,,,,,12,0,0,0,0.0,0,0.0,1,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,
