Fighter Name,Division,Record,Height,Weight,Reach,Stance,DOB,Team,First_last_last3,First_last_last4,First_last_last5,First_last_last6,First_last_last7,First_last_last8,First_last_last9,First_last_last10,Striking Accuracy,Sig. Strikes Landed,Sig. Strikes Attempted,Sig. Strikes Landed Per Min,Sig. Strikes Absorbed Per Min,Takedown Accuracy,Takedowns Landed,Takedowns Attempted,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense,Takedown Defense,Knockdown Avg,Average fight time,Wins by KO/TKO,Wins by Submission,Wins by Decision,Losses by KO/TKO,Losses by Submission,Losses by Decision,Win Streak,Last Fight Date,Last Fight Opponent,Last Fight Result,Last Fight Method,Last Fight Round,Last Fight Time
Alexander Volkov,Heavyweight,38-11-0,6' 7\,,80\,Orthodox,10/24/1988 (36),Strela Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Pantoja,Flyweight,30-5-0,5' 5\,,67.5\,Orthodox,4/16/1990 (35),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexia Thainara,Women's Strawweight,12-1-0,5' 4\,,67\,Orthodox,11/20/1995 (29),Ribas Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliaskhab Khizriev,Middleweight,14-0-0,5' 9\,,74\,Southpaw,8/24/1990 (34),Fight Club Scorpion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Ardelean,Women's Strawweight,10-7-0,5' 3\,,62\,Orthodox,4/19/1992 (33),Fusion X-Cel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Pereira,Women's Bantamweight,6-0-0,5' 10\,,,,12/20/2005 (19),Life MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alik Lorenz,Light Heavyweight,6-1-0,6' 3\,,77\,,1/25/1997 (28),Hard Drive MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aljamain Sterling,Featherweight,24-5-0,5' 7\,,71\,Orthodox,7/31/1989 (35),Serra-Longo Fight Team ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Nascimento,Flyweight,21-6-0,5' 8\,,69\,Orthodox,9/11/1991 (33),Chute Boxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonzo Menifield,Light Heavyweight,17-5-1,6' 0\,,76\,Orthodox,10/18/1987 (37),Fortis MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Hines,Heavyweight,7-1-0,6' 2\,,74\,Orthodox,10/20/1991 (33),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Lemos,Women's Strawweight,15-4-1,5' 4\,,65\,Southpaw,5/22/1987 (38),Marajo Brothers Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Ribas,Women's Strawweight,12-7-0,5' 3\,,66\,Orthodox,8/26/1993 (31),Ribas Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Albazi,Flyweight,17-2-0,5' 5\,,68\,Orthodox,10/27/1993 (31),Fight Ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Fili,Featherweight,24-12-0,5' 11\,,74\,Orthodox,6/25/1990 (35),Team Alpha Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Lima,Flyweight,11-0-0,5' 7\,,67\,Orthodox,2/4/1999 (26),Team Lucas Mineiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Muniz,Middleweight,24-7-0,6' 1\,,78\,Southpaw,2/17/1990 (35),Tata Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Petroski,Middleweight,13-5-0,6' 0\,,73\,Switch,6/12/1991 (34),Marquez MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Gustafsson,Welterweight,12-2-0,6' 1\,,73.5\,Orthodox,2/20/1991 (34),Vasteras Fight Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrey Pulyaev,Middleweight,9-3-0,6' 4\,,78\,Southpaw,9/10/1997 (27),Storm Shlemenko Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Pacheco,Featherweight,7-3-0,5' 8\,,70\,Orthodox,1/13/1992 (33),New England Cartel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela Hill,Women's Strawweight,18-14-0,5' 3\,,64.5\,Orthodox,1/12/1985 (40),Alliance MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anshul Jubli,Lightweight,7-2-0,6' 0\,,69\,Switch,1/13/1995 (30),Soma Fight Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ante Delija,Heavyweight,25-6-0,6' 4\,,79\,Orthodox,8/7/1990 (34),Cro Cop Squad Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Hernandez,Middleweight,14-2-0,6' 0\,,75\,Orthodox,10/18/1993 (31),MMAGold Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Trocoli,Middleweight,12-5-0,6' 5\,,80\,Orthodox,12/6/1990 (34),Full House MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariane Carnelossi,Women's Strawweight,15-3-0,5' 2\,,61.5\,Orthodox,11/17/1992 (32),Inside Muay Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arman Tsarukyan,Lightweight,22-3-0,5' 7\,,72.5\,Orthodox,10/11/1996 (28),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnold Allen,Featherweight,20-3-0,5' 8\,,70\,Southpaw,1/22/1994 (31),BKK Fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asu Almabayev,Flyweight,22-3-0,5' 4\,,65\,Orthodox,1/25/1994 (31),Dar Pro Team Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ateba Gautier,Middleweight,8-1-0,6' 4\,,81\,Switch,4/10/2002 (23),Manchester Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austen Lane,Heavyweight,13-7-0,6' 6\,,80\,Orthodox,11/9/1987 (37),Bulldog Boxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Hubbard,Lightweight,17-9-0,5' 10\,,71\,Orthodox,12/22/1991 (33),Valle Flow Striking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azamat Bekoev,Middleweight,20-3-0,6' 0\,,72\,Orthodox,12/30/1995 (29),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azamat Murzakanov,Light Heavyweight,15-0-0,5' 10\,,71.5\,Southpaw,4/12/1989 (36),K Dojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azat Maksum,Flyweight,15-2-0,5' 7\,,70\,Southpaw,5/7/1995 (30),Elevation Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aziz Khaydarov,Lightweight,1-1-0,,,,,9/25/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baergeng Jieleyisi,Bantamweight,0-0-0,,,72\,,11/24/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bassil Hafez,Welterweight,9-4-1,5' 11\,,72\,Orthodox,1/31/1992 (33),ONX Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bekzat Almakhan,Bantamweight,12-2-0,5' 7\,,68\,Orthodox,10/8/1997 (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belal Muhammad,Welterweight,24-4-0,5' 11\,,72\,Orthodox,7/9/1988 (37),Valle Flow Striking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beneil Dariush,Lightweight,23-6-1,5' 10\,,72\,Southpaw,5/6/1989 (36),Kings MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benoit Saint Denis,Lightweight,14-3-0,5' 11\,,73\,Southpaw,12/18/1995 (29),CYFIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Elekana,Light Heavyweight,8-2-0,6' 3\,,77.5\,Southpaw,5/28/1995 (30),Uprising MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Quarantillo,Featherweight,18-7-0,5' 10\,,70\,Orthodox,12/8/1988 (36),Gracie Tampa South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Ray Goff,Welterweight,9-4-0,5' 10\,,72\,Switch,6/18/1998 (27),Team Dexter Vale Tudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Nickal,Middleweight,7-1-0,6' 1\,,76\,Southpaw,1/14/1996 (29),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogdan Grad,Featherweight,15-3-0,5' 8\,,70\,Orthodox,9/28/1995 (29),ETTL Bros MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogdan Guskov,Light Heavyweight,18-3-0,6' 3\,,76\,Orthodox,9/12/1992 (32),GOR MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolaji Oki,Lightweight,10-2-0,5' 10\,,73\,Orthodox,11/15/1995 (29),Da Vinci Fighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Riddell,Lightweight,10-4-0,5' 7\,,71\,Orthodox,9/30/1991 (33),City Kickboxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brady Hiestand,Bantamweight,9-2-0,5' 8\,,71\,Orthodox,4/30/1999 (26),Sikjitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brando Pericic,Heavyweight,4-1-0,6' 5\,,,,8/3/1994 (30),City Kickboxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Moreno,Flyweight,23-8-2,5' 7\,,70\,Orthodox,12/7/1993 (31),Fortis MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Royval,Flyweight,17-8-0,5' 9\,,68\,Southpaw,8/16/1992 (32),Mile High Militia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Allen,Middleweight,25-7-0,6' 2\,,75\,Orthodox,12/28/1995 (29),Kill Cliff FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendson Ribeiro,Light Heavyweight,17-8-0,6' 3\,,81\,Orthodox,9/8/1996 (28),Brazilian TKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Ortega,Featherweight,16-4-0,5' 8\,,69\,Switch,2/21/1991 (34),Huntington Beach Ultimate Training Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brogan Walker,Women's Flyweight,8-4-0,5' 4\,,67\,Switch,8/2/1988 (36),Purebred BJJ Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruna Brasil,Women's Strawweight,10-5-1,5' 6\,,65.5\,Orthodox,9/7/1993 (31),Fighting Nerds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunno Ferreira,Middleweight,14-2-0,5' 10\,,72\,Orthodox,11/4/1992 (32),Brazilian TKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Lopes,Light Heavyweight,14-2-0,6' 2\,,74\,Orthodox,4/24/1993 (32),011 MMA Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Battle,Middleweight,13-2-0,6' 1\,,77\,Orthodox,9/21/1994 (30),Carolina Combat Sports & Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Mitchell,Bantamweight,18-4-0,5' 10\,,70\,Southpaw,10/4/1994 (30),Barata MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caio Borralho,Middleweight,17-1-0,6' 1\,,75\,Southpaw,1/16/1993 (32),Fighting Nerds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Kattar,Featherweight,23-10-0,5' 11\,,72\,Orthodox,3/26/1988 (37),New England Cartel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Saaiman,Bantamweight,9-3-0,5' 8\,,67\,Southpaw,12/20/2000 (24),CIT Performance Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Smotherman,Bantamweight,12-6-0,5' 9\,,69\,Orthodox,9/17/1997 (27),Metro Fight Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carli Judice,Women's Flyweight,5-2-0,5' 7\,,68\,Southpaw,3/2/1999 (26),Headkicks MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Leal,Welterweight,22-7-0,5' 11\,,74\,Orthodox,5/4/1994 (31),Thai Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Prates,Welterweight,21-7-0,6' 1\,,78\,Switch,8/17/1993 (31),Fighting Nerds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Ulberg,Light Heavyweight,13-1-0,6' 4\,,77\,Orthodox,11/7/1990 (34),City Kickboxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Vera,Bantamweight,12-4-0,5' 6\,,69\,Orthodox,11/5/1987 (37),Fifty/50 Martial Arts Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlston Harris,Welterweight,19-7-0,6' 0\,,76\,Orthodox,7/9/1987 (38),Renovacao Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesar Almeida,Middleweight,7-1-0,6' 1\,,74\,Orthodox,3/28/1988 (37),Teixeira MMA & Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Anheliger,Bantamweight,13-8-0,5' 6\,,64.5\,Orthodox,12/1/1986 (38),Champion's Creed MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Johnson,Flyweight,17-7-0,5' 9\,,70\,Switch,1/10/1991 (34),Murcielago MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Jourdain,Bantamweight,16-8-1,5' 9\,,69\,Switch,11/27/1995 (29),Brazilian Top Team Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Oliveira,Lightweight,35-11-0,5' 10\,,74\,Orthodox,10/17/1989 (35),Chute Boxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Radtke,Welterweight,10-5-0,5' 9\,,72\,Orthodox,7/9/1990 (35),Valle Flow Striking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Campbell,Lightweight,9-2-0,6' 0\,,72.5\,Orthodox,7/3/1995 (30),Serra-Longo Fight Team ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Hooper,Lightweight,16-3-1,6' 1\,,74\,Southpaw,9/13/1999 (25),Combat Sport and Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea Chandler,Women's Bantamweight,6-4-0,5' 8\,,68\,Southpaw,11/23/1990 (34),Cesar Gracie Jiu-Jitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chepe Mariscal,Featherweight,18-6-0,5' 7\,,69\,Orthodox,10/27/1992 (32),Elevation Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chidi Njokuani,Welterweight,25-11-0,6' 3\,,80\,Orthodox,12/31/1988 (36),Janjira Muay Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Barnett,Heavyweight,23-9-0,5' 9\,,75\,Orthodox,6/14/1986 (39),Hardcore Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Curtis,Welterweight,32-12-0,5' 10\,,75.5\,Orthodox,7/15/1987 (38),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Duncan,Lightweight,13-2-0,5' 10\,,71\,Orthodox,5/10/1993 (32),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Gutierrez,Featherweight,22-6-2,5' 9\,,67\,Orthodox,4/22/1991 (34),FactoryX Muay Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Padilla,Lightweight,16-6-0,5' 9\,,74\,Orthodox,9/14/1995 (29),Fight Science MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Leroy Duncan,Middleweight,11-2-0,6' 2\,,79\,Switch,7/24/1995 (30),Range MMA Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Rodriguez,Featherweight,12-3-0,5' 7\,,71.5\,Orthodox,12/17/1997 (27),Roufusport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciryl Gane,Heavyweight,13-2-0,6' 4\,,81\,Orthodox,4/12/1990 (35),MMA Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudio Puelles,Lightweight,13-4-0,5' 10\,,72\,Southpaw,4/21/1996 (29),Brazilian Warriors BJJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton Carpenter,Flyweight,8-1-0,5' 6\,,66\,Orthodox,6/9/1996 (29),MMA LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Brundage,Middleweight,11-6-1,6' 0\,,72\,Orthodox,5/16/1994 (31),FactoryX Muay Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Durden,Flyweight,17-8-1,5' 7\,,67\,Southpaw,3/29/1991 (34),American Top Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Garbrandt,Bantamweight,14-7-0,5' 8\,,65.5\,Orthodox,7/7/1991 (34),Team Alpha Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Gibson,Bantamweight,22-11-0,5' 10\,,71\,Orthodox,9/11/1987 (37),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Haddon,Bantamweight,8-1-0,5' 7\,,69\,Orthodox,9/8/1998 (26),Luistro Combat Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby Covington,Welterweight,17-5-0,5' 11\,,72\,Orthodox,2/22/1988 (37),MMA Masters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby Thicknesse,Bantamweight,7-1-0,5' 9\,,69\,Orthodox,6/23/1999 (26),Freestyle Fighting Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cory Sandhagen,Bantamweight,18-5-0,5' 11\,,70\,Switch,4/20/1992 (33),Elevation Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristian Perez,Lightweight,0-1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristian Quinonez,Bantamweight,18-5-0,5' 8\,,70\,Orthodox,4/26/1996 (29),Entram Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cub Swanson,Featherweight,30-14-0,5' 8\,,70\,Orthodox,11/2/1983 (41),Bloodline Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Blaydes,Heavyweight,19-5-0,6' 4\,,80\,Orthodox,2/18/1991 (34),Elevation Fight Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daichi Kamiya,Lightweight,6-0-0,5' 8\,,,,4/19/1999 (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Pinas,Middleweight,7-1-0,6' 1\,,,,3/12/2002 (23),Nova Uniao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damir Hadzovic,Lightweight,14-8-0,5' 9\,,70\,Orthodox,8/8/1986 (38),Arte Suave Copenhagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damon Wilson,Featherweight,9-2-0,5' 9\,,,,4/29/1993 (32),Scorpion Fighting System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Hooker,Lightweight,24-12-0,6' 0\,,75\,Switch,2/13/1990 (35),City Kickboxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Ige,Featherweight,19-10-0,5' 7\,,71\,Orthodox,8/6/1991 (33),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Barez,Flyweight,17-7-0,5' 6\,,66\,Orthodox,12/10/1988 (36),Entram Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Frunza,Welterweight,9-3-0,6' 1\,,73\,Orthodox,4/13/1994 (31),Black House Santiago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Marcos,Bantamweight,17-1-0,5' 7\,,69\,Orthodox,3/7/1993 (32),American Combat Gym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Rodriguez,Welterweight,20-5-0,6' 1\,,74\,Southpaw,12/31/1986 (38),10th Planet Jiu-Jitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Santos,Featherweight,13-2-0,5' 7\,,67\,Orthodox,3/12/1995 (30),Chute Boxe - Diego Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Zellhuber,Lightweight,15-3-0,6' 1\,,77\,Switch,7/7/1999 (26),Xtreme Couture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Barlow,Welterweight,9-1-0,6' 2\,,79\,Southpaw,8/2/1995 (29),Law School MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Silva,Featherweight,10-1-0,5' 11\,,70\,Switch,1/30/1997 (28),Bloodline Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daria Zhelezniakova,Women's Bantamweight,10-2-0,5' 9\,,68\,Orthodox,1/23/1996 (29),MMA Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Elkins,Featherweight,29-12-0,5' 10\,,71\,Orthodox,5/16/1984 (41),Team Alpha Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrius Flowers,Welterweight,12-8-1,5' 9\,,71\,Orthodox,8/25/1994 (30),Uprising MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davey Grant,Bantamweight,17-7-0,5' 8\,,69\,Orthodox,12/18/1985 (39),SBG Bishop Auckland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Martinez,Bantamweight,12-1-0,5' 6\,,66\,Orthodox,8/3/1998 (26),Bonebreakers MMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
